feature,anova_f,anova_pvalue,mutual_info,rf_importance,mean_rank_score
global_hsv_ch1_hist_7,3059.390148547428,0.0,0.881525204289062,0.01469484421098908,4.666666666666667
roi_glcm_ASM_min,2540.314001719572,0.0,0.8468528316185213,0.00962874703752366,15.0
global_hsv_ch1_hist_6,5099.46896463762,0.0,0.7034131890129689,0.02143939244063166,15.333333333333334
global_gray_hist_18,2489.3941904626754,0.0,0.819598632268989,0.013804522812851753,16.0
seg_mask_area,2436.679782193297,0.0,0.8469758978093698,0.009648212694589563,16.666666666666668
roi_glcm_ASM_max,2482.951744845938,0.0,0.8651605999872984,0.008433120023952332,17.0
roi_glcm_energy_min,2427.9678221880417,0.0,0.8468333211070396,0.010326427043922818,17.0
roi_dct_low_std,3127.156615026955,0.0,0.7912121502477385,0.009088262769482129,17.666666666666668
seg_mask_area_ratio,2436.6797821932946,0.0,0.8459699040406967,0.009898468539665245,17.666666666666668
roi_lab_ch2_hist_4,3619.0131719706105,0.0,0.6331043776272949,0.016325340649502366,22.666666666666668
roi_glcm_ASM_std,2536.3269023165867,0.0,0.8146306000995491,0.008214495357755038,23.666666666666668
roi_glcm_homogeneity_std,2479.1042161989003,0.0,0.8418800906979635,0.007981486939449283,24.0
global_rgb_ch1_hist_8,3083.3381582283464,0.0,0.8220245059205828,0.00624846264710421,24.333333333333332
roi_dct_0_0,2349.088098849972,0.0,0.8437452151718348,0.008279704857506901,24.333333333333332
global_hsv_s_q75,2788.5199026890205,0.0,0.6955599088811657,0.011140228131359155,25.333333333333332
roi_glcm_energy_mean,2398.0530123710532,0.0,0.8432316269268691,0.0076413844447830075,25.666666666666668
global_lab_ch0_hist_9,2327.3399735224434,0.0,0.8040115282101192,0.009278551506809549,27.333333333333332
global_lab_ch2_hist_4,2224.455422783187,0.0,0.8627183794336049,0.007456096244368321,28.666666666666668
global_hsv_s_mean,3313.1358486866898,0.0,0.7677177882574442,0.005958998109036165,29.666666666666668
roi_glcm_energy_std,2383.8603485939757,0.0,0.8424337468253704,0.007165314412357226,29.666666666666668
roi_glcm_ASM_mean,2496.3154633055815,0.0,0.8425671388838154,0.005616064992380258,30.0
roi_glcm_dissimilarity_std,2389.4243659751123,0.0,0.8194390533782274,0.006085199832541641,34.666666666666664
roi_rgb_ch0_hist_9,2804.5988781212213,0.0,0.61864549134649,0.00996623657527923,35.666666666666664
global_rgb_ch0_hist_8,2320.4208486140074,0.0,0.834032629706863,0.0060082381908712745,35.666666666666664
roi_glcm_energy_max,2395.863790349985,0.0,0.8651451560342422,0.004111794312854736,36.333333333333336
global_gray_hist_19,2739.7203473024947,0.0,0.7924669856830002,0.004573414050075962,37.333333333333336
global_hsv_s_max,2575.447610149294,0.0,0.632546893894895,0.00814330983980177,37.666666666666664
roi_glcm_contrast_std,2241.421594447504,0.0,0.7755043442002507,0.006977265530862978,38.333333333333336
